Prefix	Last	First	Suffix	FilingType	StateDst	Year	FilingDate	DocID
Hon.	Carter	Troy A.	Sr	O	LA02	2022	5/15/2023	8219761
Hon.	Cartwright	Matt		O	PA08	2022	8/10/2023	10054702
Hon.	Cartwright	Matt		X	PA08	2022	5/15/2023	30018989
	Cartwright	Nicholas		W	AR02	2022	4/28/2022	7840
	Caruso	Elizabeth		C	ME02	2022	5/20/2022	10049346
	Casar	Greg		C	TX35	2022	5/12/2022	10046817
Hon.	Casar	Greg		H	TX35	2022	7/17/2023	10053955
Hon.	Casar	Greg		X	TX35	2022	5/12/2023	30018729
Hon.	Case	Ed		O	HI01	2022	5/3/2023	10053011
	Castelli	Matt		C	NY21	2022	5/16/2022	10048899
	Castelli	Robert Christian		C	NC07	2022	5/14/2023	10053674
Hon.	Casten	Sean		O	IL06	2022	8/12/2023	10051327
Hon.	Casten	Sean		X	IL06	2022	4/4/2023	30017847
	Castillo	Jose		C	FL09	2022	6/17/2022	10049806
Hon.	Castor	Kathy		O	FL14	2022	5/24/2023	10052732
Hon.	Castor	Kathy		X	FL14	2022	5/11/2023	30018540
Hon.	Castro	Joaquin		O	TX20	2022	8/11/2023	8219897
Hon.	Castro	Joaquin		X	TX20	2022	5/24/2023	8219681
	Catala	Ryan Joshua		C	TX12	2022	5/6/2022	10047559
	Cavener	Mark		C	OR02	2022	4/15/2022	10046232
Hon.	Cawthorn	David Madison		P	NC11	2022	5/27/2022	20020894
Hon.	Cawthorn	David Madison		P	NC11	2022	6/8/2022	20021112
Hon.	Cawthorn	David Madison		P	NC11	2022	6/8/2022	20021170
Hon.	Cawthorn	David Madison		P	NC11	2022	12/14/2022	20022136
	Cenedella	Marc Christian		W	NY23	2022		8219098
Mr.	Chaires	Justin Raphael		W	NY20	2022		8218766
	Chavez	Jonathan		C	GA04	2022	10/27/2022	10050535
	Chavez-Deremer	Lori		C	OR05	2022	7/14/2022	10047911
	Chavez-Deremer	Lori		X	OR05	2022	6/7/2022	30016720
Hon.	Chavez-Deremer	Lori		H	OR05	2022	8/12/2023	10053200
Hon.	Chavez-Deremer	Lori		X	OR05	2022	5/15/2023	30018982
	Chehade	Iymen		C	IL03	2022	5/16/2022	10047681
	Chen	Jay		C	CA45	2022	5/16/2022	10046951
	Cheney	Jamie		C	NY19	2022	8/2/2022	8219133
Hon.	Cherfilus-McCormick	Sheila		O	FL20	2022	8/14/2023	10052434
Hon.	Cherfilus-McCormick	Sheila		X	FL20	2022	5/12/2023	30018691
	Chess	Steven		C	FL22	2022	4/15/2022	10046219
	Chima	Harpreet Singh		C	CA09	2022	6/7/2022	10049697
	Ching	Eric J.		A	CA38	2022	7/7/2022	10049935
	Ching	Eric J.		C	CA38	2022	7/7/2022	10049932
Hon.	Chu	Judy		O	CA28	2022	6/28/2023	10054289
